2021-05-05	15:55:51	DROP DATABASE IF EXISTS TexasPower	11 row(s) affected	0.717 sec
2021-05-05	15:56:01	INSERT INTO Employee VALUES (0,'OLIVER','KNOX',1,NULL ,3), (1,'JUAREZ','RICE',1,0 ,1), (2,'BAILEY','ELLIOTT',1,0 ,2), (3,'HARRELL','CASEY',1,0 ,1), (4,'COHEN','SALAZAR',1,0 ,2), (5,'ELLIOTT','AVILA',2,NULL ,3), (6,'MCCARTHY','WILKINSON',2,5 ,1), (7,'RHODES','BOOTH',2,5 ,2), (8,'STEPHENSON','DORSEY',2,5 ,1), (9,'HICKS','MONTOYA',2,5 ,2), (10,'BAXTER','CLARKE',3,NULL ,3), (11,'EVANS','BAKER',3,10 ,1), (12,'BRIDGES','CHANDLER',3,10 ,1), (13,'MARSH','CASTRO',3,10 ,1), (14,'DOMINGUEZ','SAVAGE',3,10 ,1), (15,'HOUSTON','VELASQUEZ',4,NULL ,3), (16,'FRANK','HOLT',4,15 ,1), (17,'PIERCE','PATEL',4,15 ,2), (18,'HOLT','AGUILAR',4,15 ,1), (19,'CHARLES','TYLER',4,15 ,1), (20,'DAVENPORT','LAWRENCE',5,NULL ,3), (21,'CARROLL','MELTON',5,20 ,2), (22,'PARRISH','SOTO',5,20 ,1), (23,'PACHECO','COBB',5,20 ,2), (24,'KNIGHT','ROTH',5,20 ,1), (25,'ATKINS','BLACK',6,NULL ,3), (26,'SHEPHERD','EDWARDS',6,25 ,2), (27,'SHELTON','HUBBARD',6,25 ,1), (28,'BRUCE','HUGHES',6,25 ,1), (29,'SCHNEIDER','CARTER',6,25 ,2), (30,'PATTON','LEONARD',7,NULL ,3), (31,'CRAWFORD','COLEMAN',7,30 ,1), (32,'BISHOP','CHAVEZ',7,30 ,1), (33,'FORD','HEATH',7,30 ,2), (34,'GUERRERO','BARR',7,30 ,1), (35,'FRANCIS','NELSON',8,NULL ,3), (36,'JONES','GARRETT',8,35 ,2), (37,'MONROE','GROSS',8,35 ,1), (38,'YORK','SCHMIDT',8,35 ,1), (39,'SMITH','WYATT',8,35 ,2), (40,'STOKES','PRESTON',9,NULL ,3), (41,'SELLERS','GRAY',9,40 ,1), (42,'SPENCER','MURPHY',9,40 ,1), (43,'ATKINS','CAIN',9,40 ,1), (44,'GONZALEZ','PERRY',9,40 ,2)	45 row(s) affected Records: 45  Duplicates: 0  Warnings: 0	0.000 sec

2021-05-05	15:56:01	INSERT INTO `Hours_Worked` VALUES (0, 6, '2021-05-01'), (0, 7, '2021-05-02'), (0, 6, '2021-05-03'), (0, 7, '2021-05-04'), (0, 4, '2021-05-05'), (0, 6, '2021-05-06'), (0, 5, '2021-05-07'), (0, 6, '2021-05-08'), (0, 6, '2021-05-09'), (0, 6, '2021-05-10'), (0, 5, '2021-05-11'), (0, 7, '2021-05-12'), (0, 5, '2021-05-13'), (0, 4, '2021-05-14'), (0, 7, '2021-05-15'), (0, 5, '2021-05-16'), (0, 6, '2021-05-17'), (0, 5, '2021-05-18'), (0, 6, '2021-05-19'), (0, 4, '2021-05-20'), (0, 6, '2021-05-21'), (0, 4, '2021-05-22'), (0, 5, '2021-05-23'), (0, 4, '2021-05-24'), (0, 4, '2021-05-25'), (0, 5, '2021-05-26'), (0, 6, '2021-05-27'), (0, 5, '2021-05-28'), (0, 4, '2021-05-29'), (0, 7, '2021-05-30'), (1, 5, '2021-05-01'), (1, 6, '2021-05-02'), (1, 5, '2021-05-03'), (1, 5, '2021-05-04'), (1, 5, '2021-05-05'), (1, 4, '2021-05-06'), (1, 6, '2021-05-07'), (1, 4, '2021-05-08'), (1, 5, '2021-05-09'), (1, 5, '2021-05-10'), (1, 4, '2021-05-11'), (1, 6, '2021-05-12'), (1, 4, '2021-05-13'), (1, 7, '2021-05-14'), (1, 7, '2021-05-15'), (1, 4, '2021-05-16'), (1, 6, '2021-05-17'), (1, 7, '2021-05-18'), (1, 5, '2021-05-19'), (1, 5, '2021-05-20'), (1, 5, '2021-05-21'), (1, 6, '2021-05-22'), (1, 7, '2021-05-23'), (1, 4, '2021-05-24'), (1, 5, '2021-05-25'), (1, 4, '2021-05-26'), (1, 4, '2021-05-27'), (1, 4, '2021-05-28'), (1, 5, '2021-05-29'), (1, 5, '2021-05-30'), (2, 7, '2021-05-01'), (2, 6, '2021-05-02'), (2, 7, '2021-05-03'), (2, 6, '2021-05-04'), (2, 4, '2021-05-05'), (2, 5, '2021-05-06'), (2, 4, '2021-05-07'), (2, 7, '2021-05-08'), (2, 5, '2021-05-09'), (2, 4, '2021-05-10'), (2, 6, '2021-05-11'), (2, 6, '2021-05-12'), (2, 7, '2021-05-13'), (2, 6, '2021-05-14'), (2, 6, '2021-05-15'), (2, 5, '2021-05-16'), (2, 6, '2021-05-17'), (2, 5, '2021-05-18'), (2, 6, '2021-05-19'), (2, 7, '2021-05-20'), (2, 4, '2021-05-21'), (2, 5, '2021-05-22'), (2, 6, '2021-05-23'), (2, 7, '2021-05-24'), (2, 6, '2021-05-25'), (2, 5, '2021-05-26'), (2, 7, '2021-05-27'), (2, 5, '2021-05-28'), (2, 7, '2021-05-29'), (2, 6, '2021-05-30'), (3, 7, '2021-05-01'), (3, 7, '2021-05-02'), (3, 5, '2021-05-03'), (3, 5, '2021-05-04'), (3, 5, '2021-05-05'), (3, 5, '2021-05-06'), (3, 4, '2021-05-07'), (3, 5, '2021-05-08'), (3, 6, '2021-05-09'), (3, 5, '2021-05-10'), (3, 4, '2021-05-11'), (3, 6, '2021-05-12'), (3, 7, '2021-05-13'), (3, 4, '2021-05-14'), (3, 6, '2021-05-15'), (3, 5, '2021-05-16'), (3, 6, '2021-05-17'), (3, 4, '2021-05-18'), (3, 5, '2021-05-19'), (3, 7, '2021-05-20'), (3, 5, '2021-05-21'), (3, 5, '2021-05-22'), (3, 5, '2021-05-23'), (3, 5, '2021-05-24'), (3, 6, '2021-05-25'), (3, 4, '2021-05-26'), (3, 4, '2021-05-27'), (3, 6, '2021-05-28'), (3, 7, '2021-05-29'), (3, 5, '2021-05-30'), (4, 7, '2021-05-01'), (4, 7, '2021-05-02'), (4, 5, '2021-05-03'), (4, 4, '2021-05-04'), (4, 6, '2021-05-05'), (4, 5, '2021-05-06'), (4, 5, '2021-05-07'), (4, 7, '2021-05-08'), (4, 5, '2021-05-09'), (4, 4, '2021-05-10'), (4, 5, '2021-05-11'), (4, 6, '2021-05-12'), (4, 4, '2021-05-13'), (4, 4, '2021-05-14'), (4, 5, '2021-05-15'), (4, 6, '2021-05-16'), (4, 6, '2021-05-17'), (4, 4, '2021-05-18'), (4, 4, '2021-05-19'), (4, 7, '2021-05-20'), (4, 6, '2021-05-21'), (4, 4, '2021-05-22'), (4, 7, '2021-05-23'), (4, 7, '2021-05-24'), (4, 7, '2021-05-25'), (4, 5, '2021-05-26'), (4, 5, '2021-05-27'), (4, 4, '2021-05-28'), (4, 7, '2021-05-29'), (4, 7, '2021-05-30'), (5, 5, '2021-05-01'), (5, 5, '2021-05-02'), (5, 7, '2021-05-03'), (5, 6, '2021-05-04'), (5, 4, '2021-05-05'), (5, 4, '2021-05-06'), (5, 4, '2021-05-07'), (5, 5, '2021-05-08'), (5, 4, '2021-05-09'), (5, 4, '2021-05-10'), (5, 5, '2021-05-11'), (5, 5, '2021-05-12'), (5, 5, '2021-05-13'), (5, 6, '2021-05-14'), (5, 7, '2021-05-15'), (5, 4, '2021-05-16'), (5, 7, '2021-05-17'), (5, 7, '2021-05-18'), (5, 4, '2021-05-19'), (5, 5, '2021-05-20'), (5, 7, '2021-05-21'), (5, 5, '2021-05-22'), (5, 5, '2021-05-23'), (5, 5, '2021-05-24'), (5, 6, '2021-05-25'), (5, 5, '2021-05-26'), (5, 5, '2021-05-27'), (5, 6, '2021-05-28'), (5, 7, '2021-05-29'), (5, 6, '2021-05-30'), (6, 4, '2021-05-01'), (6, 5, '2021-05-02'), (6, 6, '2021-05-03'), (6, 5, '2021-05-04'), (6, 4, '2021-0...	1350 row(s) affected Records: 1350  Duplicates: 0  Warnings: 0	0.016 sec

2021-05-05	15:56:01	UPDATE Plant SET Plant.supervisor = ( SELECT employee_id        FROM Employee e WHERE e.works_at = Plant.plant_id AND e.role = 3) WHERE Plant.plant_id >= 1	9 row(s) affected Rows matched: 9  Changed: 9  Warnings: 0	0.000 sec

2021-05-05	15:56:01	INSERT INTO `Maintenance` VALUES ('2021-05-07','2021-05-10','fixed leaks',124040.0,0,1), ('2021-05-07','2021-05-10','replaced filters',924340.0,6,2), ('2021-05-07','2021-05-10','replaced turbines',4344040.0,13,3), ('2021-05-07','2021-05-10','replaced engines',343440.0,21,4), ('2021-05-07','2021-05-10','replaced wiring',544120.0,27,5)	5 row(s) affected Records: 5  Duplicates: 0  Warnings: 0	0.000 sec

2021-05-05	15:56:01	INSERT INTO `Energy_Produced` VALUES (706920, 1, '2021-05-01'), (761022, 1, '2021-05-02'), (426829, 1, '2021-05-03'), (1025510, 1, '2021-05-04'), (539677, 1, '2021-05-05'), (1022910, 1, '2021-05-06'), (695615, 1, '2021-05-07'), (1140958, 1, '2021-05-08'), (1147529, 1, '2021-05-09'), (785462, 1, '2021-05-10'), (533179, 1, '2021-05-11'), (1052091, 1, '2021-05-12'), (695165, 1, '2021-05-13'), (672240, 1, '2021-05-14'), (813043, 1, '2021-05-15'), (786147, 1, '2021-05-16'), (1121125, 1, '2021-05-17'), (746319, 1, '2021-05-18'), (933334, 1, '2021-05-19'), (1011309, 1, '2021-05-20'), (758278, 1, '2021-05-21'), (742289, 1, '2021-05-22'), (869313, 1, '2021-05-23'), (706749, 1, '2021-05-24'), (411575, 1, '2021-05-25'), (401373, 1, '2021-05-26'), (781142, 1, '2021-05-27'), (468855, 1, '2021-05-28'), (879677, 1, '2021-05-29'), (1060289, 1, '2021-05-30'), (876036, 2, '2021-05-01'), (429317, 2, '2021-05-02'), (1118351, 2, '2021-05-03'), (825945, 2, '2021-05-04'), (582980, 2, '2021-05-05'), (860108, 2, '2021-05-06'), (1177764, 2, '2021-05-07'), (1140108, 2, '2021-05-08'), (586167, 2, '2021-05-09'), (793817, 2, '2021-05-10'), (578099, 2, '2021-05-11'), (751711, 2, '2021-05-12'), (1176065, 2, '2021-05-13'), (565857, 2, '2021-05-14'), (510868, 2, '2021-05-15'), (476457, 2, '2021-05-16'), (863704, 2, '2021-05-17'), (947520, 2, '2021-05-18'), (473425, 2, '2021-05-19'), (620209, 2, '2021-05-20'), (556931, 2, '2021-05-21'), (987430, 2, '2021-05-22'), (524512, 2, '2021-05-23'), (1016208, 2, '2021-05-24'), (612506, 2, '2021-05-25'), (1023093, 2, '2021-05-26'), (584300, 2, '2021-05-27'), (771822, 2, '2021-05-28'), (960863, 2, '2021-05-29'), (663830, 2, '2021-05-30'), (984829, 3, '2021-05-01'), (1022440, 3, '2021-05-02'), (847656, 3, '2021-05-03'), (941784, 3, '2021-05-04'), (568990, 3, '2021-05-05'), (456135, 3, '2021-05-06'), (1099412, 3, '2021-05-07'), (1091496, 3, '2021-05-08'), (566824, 3, '2021-05-09'), (505703, 3, '2021-05-10'), (1029860, 3, '2021-05-11'), (998372, 3, '2021-05-12'), (566423, 3, '2021-05-13'), (560997, 3, '2021-05-14'), (835934, 3, '2021-05-15'), (825024, 3, '2021-05-16'), (1110278, 3, '2021-05-17'), (517077, 3, '2021-05-18'), (554093, 3, '2021-05-19'), (975973, 3, '2021-05-20'), (903387, 3, '2021-05-21'), (1083463, 3, '2021-05-22'), (439524, 3, '2021-05-23'), (1168173, 3, '2021-05-24'), (690735, 3, '2021-05-25'), (1056143, 3, '2021-05-26'), (613410, 3, '2021-05-27'), (757503, 3, '2021-05-28'), (585357, 3, '2021-05-29'), (969163, 3, '2021-05-30'), (531023, 4, '2021-05-01'), (1163436, 4, '2021-05-02'), (1015517, 4, '2021-05-03'), (857482, 4, '2021-05-04'), (630443, 4, '2021-05-05'), (1175741, 4, '2021-05-06'), (778335, 4, '2021-05-07'), (840468, 4, '2021-05-08'), (1007709, 4, '2021-05-09'), (1041756, 4, '2021-05-10'), (977484, 4, '2021-05-11'), (681628, 4, '2021-05-12'), (1151294, 4, '2021-05-13'), (934495, 4, '2021-05-14'), (743345, 4, '2021-05-15'), (531441, 4, '2021-05-16'), (927844, 4, '2021-05-17'), (521675, 4, '2021-05-18'), (420426, 4, '2021-05-19'), (731577, 4, '2021-05-20'), (1183568, 4, '2021-05-21'), (634051, 4, '2021-05-22'), (713981, 4, '2021-05-23'), (620813, 4, '2021-05-24'), (999509, 4, '2021-05-25'), (957106, 4, '2021-05-26'), (404103, 4, '2021-05-27'), (1136010, 4, '2021-05-28'), (774556, 4, '2021-05-29'), (712057, 4, '2021-05-30'), (406741, 5, '2021-05-01'), (737685, 5, '2021-05-02'), (1151872, 5, '2021-05-03'), (979675, 5, '2021-05-04'), (421600, 5, '2021-05-05'), (537938, 5, '2021-05-06'), (521718, 5, '2021-05-07'), (777490, 5, '2021-05-08'), (513129, 5, '2021-05-09'), (737976, 5, '2021-05-10'), (783794, 5, '2021-05-11'), (726680, 5, '2021-05-12'), (1167696, 5, '2021-05-13'), (951991, 5, '2021-05-14'), (1132852, 5, '2021-05-15'), (608479, 5, '2021-05-16'), (465714, 5, '2021-05-17'), (1143549, 5, '2021-05-18'), (1086938, 5, '2021-05-19'), (875848, 5, '2021-05-20'), (467000, 5, '2021-05-21'), (662302, 5, '2021-05-22'), (988410, 5, '2021-05-23'), (721564, 5, '2021-05-24'), (994716, 5, '2021-05-25'), (1041739, 5, '2021-05-26'), (927352, 5, '2021-05-27'), (1120761, 5, '2021-05-28'), (832215, 5, '2021-05-29'),...	270 row(s) affected Records: 270  Duplicates: 0  Warnings: 0	0.000 sec

2021-05-05	15:56:01	INSERT INTO `energy_sold` VALUES (1, 1, '2021-05-04', 205102.0, 6.87), (1, 2, '2021-05-04', 205102.0, 5.79), (1, 3, '2021-05-04', 205102.0, 6.39), (1, 1, '2021-05-05', 107935.4, 5.81), (1, 1, '2021-05-06', 204582.0, 7.36), (1, 2, '2021-05-06', 204582.0, 4.85), (1, 1, '2021-05-08', 228191.6, 7.35), (1, 2, '2021-05-08', 228191.6, 2.3), (1, 3, '2021-05-08', 228191.6, 8.53), (1, 1, '2021-05-12', 210418.2, 4.47), (1, 1, '2021-05-13', 139033.0, 6.09), (1, 1, '2021-05-14', 134448.0, 6.44), (1, 2, '2021-05-14', 134448.0, 5.13), (1, 1, '2021-05-15', 162608.6, 1.24), (1, 1, '2021-05-16', 157229.4, 5.96), (1, 2, '2021-05-16', 157229.4, 4.54), (1, 3, '2021-05-16', 157229.4, 5.43), (1, 1, '2021-05-17', 224225.0, 7.06), (1, 2, '2021-05-17', 224225.0, 5.47), (1, 3, '2021-05-17', 224225.0, 4.3), (1, 1, '2021-05-18', 149263.8, 4.11), (1, 2, '2021-05-18', 149263.8, 7.07), (1, 3, '2021-05-18', 149263.8, 5.63), (1, 1, '2021-05-19', 186666.8, 6.88), (1, 2, '2021-05-19', 186666.8, 3.33), (1, 1, '2021-05-20', 202261.8, 9.23), (1, 1, '2021-05-22', 148457.8, 9.65), (1, 1, '2021-05-24', 141349.8, 7.39), (1, 2, '2021-05-24', 141349.8, 1.43), (1, 3, '2021-05-24', 141349.8, 3.29), (1, 1, '2021-05-26', 80274.6, 6.02), (1, 2, '2021-05-26', 80274.6, 3.88), (1, 3, '2021-05-26', 80274.6, 5.08), (1, 1, '2021-05-28', 93771.0, 1.74), (1, 2, '2021-05-28', 93771.0, 4.26), (1, 3, '2021-05-28', 93771.0, 8.39), (1, 1, '2021-05-29', 175935.4, 4.62), (1, 2, '2021-05-29', 175935.4, 9.45), (1, 1, '2021-05-30', 212057.8, 9.94), (2, 1, '2021-05-01', 175207.2, 1.93), (2, 2, '2021-05-01', 175207.2, 4.23), (2, 1, '2021-05-03', 223670.2, 1.28), (2, 1, '2021-05-04', 165189.0, 6.46), (2, 1, '2021-05-05', 116596.0, 9.63), (2, 1, '2021-05-06', 172021.6, 4.1), (2, 2, '2021-05-06', 172021.6, 6.92), (2, 1, '2021-05-07', 235552.8, 3.33), (2, 1, '2021-05-09', 117233.4, 6.01), (2, 2, '2021-05-09', 117233.4, 1.4), (2, 3, '2021-05-09', 117233.4, 2.02), (2, 1, '2021-05-11', 115619.8, 9.43), (2, 2, '2021-05-11', 115619.8, 7.0), (2, 1, '2021-05-12', 150342.2, 6.67), (2, 2, '2021-05-12', 150342.2, 9.23), (2, 1, '2021-05-13', 235213.0, 7.36), (2, 2, '2021-05-13', 235213.0, 9.25), (2, 3, '2021-05-13', 235213.0, 4.32), (2, 1, '2021-05-14', 113171.4, 2.02), (2, 2, '2021-05-14', 113171.4, 4.08), (2, 1, '2021-05-16', 95291.4, 5.76), (2, 2, '2021-05-16', 95291.4, 2.99), (2, 3, '2021-05-16', 95291.4, 4.14), (2, 1, '2021-05-18', 189504.0, 2.65), (2, 1, '2021-05-19', 94685.0, 2.54), (2, 1, '2021-05-20', 124041.8, 8.03), (2, 1, '2021-05-21', 111386.2, 4.38), (2, 2, '2021-05-21', 111386.2, 5.3), (2, 1, '2021-05-23', 104902.4, 5.84), (2, 1, '2021-05-24', 203241.6, 3.16), (2, 2, '2021-05-24', 203241.6, 3.44), (2, 3, '2021-05-24', 203241.6, 8.5), (2, 1, '2021-05-26', 204618.6, 2.08), (2, 1, '2021-05-27', 116860.0, 1.6), (2, 2, '2021-05-27', 116860.0, 4.4), (2, 1, '2021-05-28', 154364.4, 3.18), (2, 2, '2021-05-28', 154364.4, 4.38), (2, 3, '2021-05-28', 154364.4, 6.28), (2, 1, '2021-05-29', 192172.6, 9.42), (2, 1, '2021-05-30', 132766.0, 6.86), (3, 1, '2021-05-01', 196965.8, 7.1), (3, 2, '2021-05-01', 196965.8, 6.28), (3, 1, '2021-05-02', 204488.0, 5.75), (3, 1, '2021-05-04', 188356.8, 3.83), (3, 2, '2021-05-04', 188356.8, 5.99), (3, 3, '2021-05-04', 188356.8, 2.5), (3, 1, '2021-05-05', 113798.0, 9.66), (3, 2, '2021-05-05', 113798.0, 8.89), (3, 3, '2021-05-05', 113798.0, 6.73), (3, 1, '2021-05-07', 219882.4, 4.0), (3, 1, '2021-05-08', 218299.2, 8.82), (3, 2, '2021-05-08', 218299.2, 3.82), (3, 1, '2021-05-10', 101140.6, 1.42), (3, 2, '2021-05-10', 101140.6, 6.3), (3, 3, '2021-05-10', 101140.6, 6.78), (3, 1, '2021-05-12', 199674.4, 5.53), (3, 1, '2021-05-13', 113284.6, 9.39), (3, 2, '2021-05-13', 113284.6, 6.45), (3, 1, '2021-05-14', 112199.4, 2.63), (3, 2, '2021-05-14', 112199.4, 1.93), (3, 3, '2021-05-14', 112199.4, 4.77), (3, 1, '2021-05-16', 165004.8, 2.09), (3, 2, '2021-05-16', 165004.8, 6.34), (3, 3, '2021-05-16', 165004.8, 8.25), (3, 1, '2021-05-17', 222055.6, 5.55), (3, 2, '2021-05-17', 222055.6, 4.41), (3, 1, '2021-05-21', 180677.4, 6.01), (3, 2, '2021-05-21', 180677.4, 7.25), (3, 3, '2021-05-21',...	380 row(s) affected Records: 380  Duplicates: 0  Warnings: 0	0.000 sec

2021-05-05	15:56:05	Select kilowatts_produced , name , date  from Plant join Energy_Produced E on Plant.plant_id = E.plant LIMIT 0, 1000	270 row(s) returned	0.000 sec / 0.000 sec

2021-05-05	15:56:05	SELECT Energy_sold.date, ROUND(CAST(kilowatts_sold AS DECIMAL(7, 2)) * CAST(dollar_per_kilowatt AS DECIMAL(7, 2)), 2) AS 'total_income_per_day' FROM Energy_sold LIMIT 0, 1000	380 row(s) returned	0.000 sec / 0.000 sec

2021-05-05	15:56:05	SELECT Hours_Worked.date, ROUND(CAST(Hours_Worked.hours_worked AS DECIMAL(7, 2)) * CAST(Role.pay_rate AS DECIMAL(7, 2)), 2) AS 'money_each_plant_spent_per_day' FROM Hours_Worked JOIN Employee ON Employee.employee_id = Hours_Worked.employee JOIN Role ON Employee.role = Role.role_id LIMIT 0, 1000	1000 row(s) returned	0.000 sec / 0.000 sec

2021-05-05	15:56:05	SELECT name FROM Plant join Hydro_Plants H on Plant.plant_id = H.plant WHERE average_flowrate > 3.50 LIMIT 0, 1000	2 row(s) returned	0.000 sec / 0.000 sec

2021-05-05	15:56:05	SELECT name  FROM Plant join Solar_Plants S on Plant.plant_id = S.plant WHERE square_miles < 1000 LIMIT 0, 1000	1 row(s) returned	0.000 sec / 0.000 sec
